task_id	run_id	ledger_source	execution_track	evidence_complete	final_assessment	report_md	verification_log	audit_summary
DKT-001	DKT-001_20260211T123153Z_r813113	pre_batch_results.tsv	PRE_BATCH_COMPLETED	YES	ACCEPTED	.artifacts/agent_runs/DKT-001_20260211T123153Z_r813113/reports/DKT-001/report.md	.artifacts/agent_runs/DKT-001_20260211T123153Z_r813113/reports/DKT-001/verification.log	.artifacts/agent_runs/DKT-001_20260211T123153Z_r813113/reports/DKT-001/audit-summary.md
DKT-002	DKT-002_20260211T124625Z_367c80d	batch_results.tsv	INITIAL_BATCH_FAILED	YES	RECOVERED_ACCEPTED_WITH_EVIDENCE	.artifacts/agent_runs/DKT-002_20260211T124625Z_367c80d/reports/DKT-002/report.md	.artifacts/agent_runs/DKT-002_20260211T124625Z_367c80d/reports/DKT-002/verification.log	.artifacts/agent_runs/DKT-002_20260211T124625Z_367c80d/reports/DKT-002/audit-summary.md
DKT-003	DKT-003_20260211T134056Z_ac778e9	batch_resume_from_dkt003_results.tsv	RESUME_BATCH_SUCCESS	YES	ACCEPTED	.artifacts/agent_runs/DKT-003_20260211T134056Z_ac778e9/reports/DKT-003/report.md	.artifacts/agent_runs/DKT-003_20260211T134056Z_ac778e9/reports/DKT-003/verification.log	.artifacts/agent_runs/DKT-003_20260211T134056Z_ac778e9/reports/DKT-003/audit-summary.md
DKT-004	DKT-004_20260211T135013Z_657160f	batch_resume_from_dkt003_results.tsv	RESUME_BATCH_SUCCESS	YES	ACCEPTED	.artifacts/agent_runs/DKT-004_20260211T135013Z_657160f/reports/DKT-004/report.md	.artifacts/agent_runs/DKT-004_20260211T135013Z_657160f/reports/DKT-004/verification.log	.artifacts/agent_runs/DKT-004_20260211T135013Z_657160f/reports/DKT-004/audit-summary.md
DKT-005	DKT-005_20260211T140915Z_e31fe5b	batch_resume_from_dkt003_results.tsv	RESUME_BATCH_SUCCESS	YES	ACCEPTED	.artifacts/agent_runs/DKT-005_20260211T140915Z_e31fe5b/reports/DKT-005/report.md	.artifacts/agent_runs/DKT-005_20260211T140915Z_e31fe5b/reports/DKT-005/verification.log	.artifacts/agent_runs/DKT-005_20260211T140915Z_e31fe5b/reports/DKT-005/audit-summary.md
DKT-006	DKT-006_20260211T141832Z_9507e94	batch_resume_from_dkt003_results.tsv	RESUME_BATCH_SUCCESS	YES	ACCEPTED	.artifacts/agent_runs/DKT-006_20260211T141832Z_9507e94/reports/DKT-006/report.md	.artifacts/agent_runs/DKT-006_20260211T141832Z_9507e94/reports/DKT-006/verification.log	.artifacts/agent_runs/DKT-006_20260211T141832Z_9507e94/reports/DKT-006/audit-summary.md
DKT-007	DKT-007_20260211T143434Z_67473c3	batch_resume_from_dkt003_results.tsv	RESUME_BATCH_SUCCESS	YES	ACCEPTED	.artifacts/agent_runs/DKT-007_20260211T143434Z_67473c3/reports/DKT-007/report.md	.artifacts/agent_runs/DKT-007_20260211T143434Z_67473c3/reports/DKT-007/verification.log	.artifacts/agent_runs/DKT-007_20260211T143434Z_67473c3/reports/DKT-007/audit-summary.md
DKT-008	DKT-008_20260211T144436Z_5f3293f	batch_resume_from_dkt003_results.tsv	RESUME_BATCH_SUCCESS	YES	ACCEPTED	.artifacts/agent_runs/DKT-008_20260211T144436Z_5f3293f/reports/DKT-008/report.md	.artifacts/agent_runs/DKT-008_20260211T144436Z_5f3293f/reports/DKT-008/verification.log	.artifacts/agent_runs/DKT-008_20260211T144436Z_5f3293f/reports/DKT-008/audit-summary.md
DKT-009	DKT-009_20260211T145323Z_1dd8969	batch_resume_from_dkt003_results.tsv	RESUME_BATCH_SUCCESS	YES	ACCEPTED	.artifacts/agent_runs/DKT-009_20260211T145323Z_1dd8969/reports/DKT-009/report.md	.artifacts/agent_runs/DKT-009_20260211T145323Z_1dd8969/reports/DKT-009/verification.log	.artifacts/agent_runs/DKT-009_20260211T145323Z_1dd8969/reports/DKT-009/audit-summary.md
DKT-010	DKT-010_20260211T150225Z_7c3db79	batch_resume_from_dkt003_results.tsv	RESUME_BATCH_SUCCESS	YES	ACCEPTED	.artifacts/agent_runs/DKT-010_20260211T150225Z_7c3db79/reports/DKT-010/report.md	.artifacts/agent_runs/DKT-010_20260211T150225Z_7c3db79/reports/DKT-010/verification.log	.artifacts/agent_runs/DKT-010_20260211T150225Z_7c3db79/reports/DKT-010/audit-summary.md
DKT-011	DKT-011_20260211T151141Z_fe1044c	batch_resume_from_dkt003_results.tsv	RESUME_BATCH_SUCCESS	YES	ACCEPTED	.artifacts/agent_runs/DKT-011_20260211T151141Z_fe1044c/reports/DKT-011/report.md	.artifacts/agent_runs/DKT-011_20260211T151141Z_fe1044c/reports/DKT-011/verification.log	.artifacts/agent_runs/DKT-011_20260211T151141Z_fe1044c/reports/DKT-011/audit-summary.md
DKT-012	DKT-012_20260211T152043Z_074a9b0	batch_resume_from_dkt003_results.tsv	RESUME_BATCH_SUCCESS	YES	ACCEPTED	.artifacts/agent_runs/DKT-012_20260211T152043Z_074a9b0/reports/DKT-012/report.md	.artifacts/agent_runs/DKT-012_20260211T152043Z_074a9b0/reports/DKT-012/verification.log	.artifacts/agent_runs/DKT-012_20260211T152043Z_074a9b0/reports/DKT-012/audit-summary.md
DKT-013	DKT-013_20260211T152730Z_ba087a7	batch_resume_from_dkt003_results.tsv	RESUME_BATCH_SUCCESS	YES	ACCEPTED	.artifacts/agent_runs/DKT-013_20260211T152730Z_ba087a7/reports/DKT-013/report.md	.artifacts/agent_runs/DKT-013_20260211T152730Z_ba087a7/reports/DKT-013/verification.log	.artifacts/agent_runs/DKT-013_20260211T152730Z_ba087a7/reports/DKT-013/audit-summary.md
DKT-014	DKT-014_20260211T153647Z_b3257c4	batch_resume_from_dkt003_results.tsv	RESUME_BATCH_SUCCESS	YES	ACCEPTED	.artifacts/agent_runs/DKT-014_20260211T153647Z_b3257c4/reports/DKT-014/report.md	.artifacts/agent_runs/DKT-014_20260211T153647Z_b3257c4/reports/DKT-014/verification.log	.artifacts/agent_runs/DKT-014_20260211T153647Z_b3257c4/reports/DKT-014/audit-summary.md
DKT-015	DKT-015_20260211T155119Z_843a887	batch_resume_from_dkt003_results.tsv	RESUME_BATCH_SUCCESS	YES	ACCEPTED	.artifacts/agent_runs/DKT-015_20260211T155119Z_843a887/reports/DKT-015/report.md	.artifacts/agent_runs/DKT-015_20260211T155119Z_843a887/reports/DKT-015/verification.log	.artifacts/agent_runs/DKT-015_20260211T155119Z_843a887/reports/DKT-015/audit-summary.md
DKT-016	DKT-016_20260211T160336Z_22ef426	batch_resume_from_dkt003_results.tsv	RESUME_BATCH_SUCCESS	YES	ACCEPTED	.artifacts/agent_runs/DKT-016_20260211T160336Z_22ef426/reports/DKT-016/report.md	.artifacts/agent_runs/DKT-016_20260211T160336Z_22ef426/reports/DKT-016/verification.log	.artifacts/agent_runs/DKT-016_20260211T160336Z_22ef426/reports/DKT-016/audit-summary.md
DKT-017	DKT-017_20260211T161523Z_cdc83ef	batch_resume_from_dkt003_results.tsv	RESUME_BATCH_SUCCESS	YES	ACCEPTED	.artifacts/agent_runs/DKT-017_20260211T161523Z_cdc83ef/reports/DKT-017/report.md	.artifacts/agent_runs/DKT-017_20260211T161523Z_cdc83ef/reports/DKT-017/verification.log	.artifacts/agent_runs/DKT-017_20260211T161523Z_cdc83ef/reports/DKT-017/audit-summary.md
DKT-018	DKT-018_20260211T162409Z_e01c993	batch_resume_from_dkt003_results.tsv	RESUME_BATCH_SUCCESS	YES	ACCEPTED	.artifacts/agent_runs/DKT-018_20260211T162409Z_e01c993/reports/DKT-018/report.md	.artifacts/agent_runs/DKT-018_20260211T162409Z_e01c993/reports/DKT-018/verification.log	.artifacts/agent_runs/DKT-018_20260211T162409Z_e01c993/reports/DKT-018/audit-summary.md
